name,rate,rank
Alabama,5.727018469000001,22.0
Alaska,6.50609454,24.0
Arizona,23.49527875125,45.0
Arkansas,8.597502101875,27.0
California,19.461215832690936,40.0
Colorado,1.49862468,9.0
Connecticut,10.9368003025,29.0
Delaware,2.6703546392857143,15.0
Florida,6.949106760499999,25.0
Georgia,13.286808157114192,33.0
Hawaii,12.852540923157894,31.0
Idaho,1.2402923542857143,8.0
Illinois,10.226860017142858,28.0
Indiana,4.714648217058824,19.0
Iowa,21.774515713977554,43.0
Kansas,40.66456727031106,46.0
Kentucky,4.3463776075,18.0
Louisiana,2.986340298,16.0
Maine,5.467876057693726,21.0
Maryland,0.687492785,4.0
Massachusetts,108.41456523,48.0
Michigan,2.0030107208333336,12.0
Minnesota,22.29141245588235,44.0
Mississippi,21.49316441974439,42.0
Missouri,0.9974991525,5.0
Montana,2.161869453494387,13.0
Nebraska,1.5282731233333333,10.0
Nevada,0.43634079,1.0
New Hampshire,82.309919725,47.0
New Jersey,6.0757888445671515,23.0
New Mexico,16.711214731538462,38.0
New York,11.194140792491048,30.0
North Carolina,7.6307371468421055,26.0
North Dakota,18.01036939666667,39.0
Ohio,110.82072865714287,49.0
Oklahoma,5.275971747647059,20.0
Oregon,0.49852982,2.0
Pennsylvania,1.8483156454545455,11.0
Rhode Island,15.824127475000001,37.0
South Carolina,1.1354724772727272,6.0
South Dakota,20.75680674857143,41.0
Tennessee,12.906010672142855,32.0
Texas,14.377351695217392,36.0
Utah,14.356527051644417,35.0
Vermont,1.208185828,7.0
Washington,13.736623035639399,34.0
West Virginia,3.340107219310345,17.0
Wisconsin,2.352257535,14.0
Wyoming,0.65627229,3.0
